Journey:1,Start Time:,11:38:58
Lat,Lng,Time
35.1554988,33.3388505,00:03:19
35.1554988,33.3388505,00:03:20
35.1555554,33.3387908,00:03:21
35.1555554,33.3387908,00:03:22
35.1555554,33.3387908,00:03:23
35.1555554,33.3387908,00:03:24
35.1555554,33.3387908,00:03:25
35.1555558,33.3387934,00:03:26
35.1555558,33.3387934,00:03:27
35.1555558,33.3387934,00:03:28
35.1555558,33.3387934,00:03:29
35.1555558,33.3387934,00:03:30
35.1555515,33.3387962,00:03:31
35.1555515,33.3387962,00:03:32
35.1555515,33.3387962,00:03:33
35.1555515,33.3387962,00:03:34
35.1555515,33.3387962,00:03:35
35.1555519,33.3387979,00:03:36
35.1555519,33.3387979,00:03:37
35.1555519,33.3387979,00:03:38
35.1555519,33.3387979,00:03:39
35.1555519,33.3387979,00:03:40
35.1555503,33.3387964,00:03:41
35.1555503,33.3387964,00:03:42
35.1555503,33.3387964,00:03:43
35.1555503,33.3387964,00:03:44
35.1555503,33.3387964,00:03:45
35.1555505,33.3387954,00:03:46
35.1555505,33.3387954,00:03:47
35.1555505,33.3387954,00:03:48
35.1555505,33.3387954,00:03:49
35.1555505,33.3387954,00:03:50
35.1558695,33.3387206,00:03:51
35.1558695,33.3387206,00:03:52
35.1558695,33.3387206,00:03:53
35.1558695,33.3387206,00:03:54
35.1558695,33.3387206,00:03:55
35.1564105,33.3385393,00:03:56
35.1564105,33.3385393,00:03:57
35.1564105,33.3385393,00:03:58
35.1564105,33.3385393,00:03:59
35.1564105,33.3385393,00:04:00
35.1569318,33.3382843,00:04:01
35.1569318,33.3382843,00:04:02
35.1569318,33.3382843,00:04:03
35.1569318,33.3382843,00:04:04
35.1569318,33.3382843,00:04:05
35.157365,33.3380908,00:04:06
35.157365,33.3380908,00:04:07
35.157365,33.3380908,00:04:08
35.157365,33.3380908,00:04:09
35.157365,33.3380908,00:04:10
35.1575624,33.3379866,00:04:11
35.1575624,33.3379866,00:04:12
35.1575624,33.3379866,00:04:13
35.1575624,33.3379866,00:04:14
35.1575624,33.3379866,00:04:15
35.1575838,33.3379933,00:04:16
35.1575838,33.3379933,00:04:17
35.1575799,33.3379962,00:04:18
35.1575799,33.3379962,00:04:19
35.1575799,33.3379962,00:04:20
35.1576013,33.3380126,00:04:21
35.1576013,33.3380126,00:04:22
35.1576013,33.3380126,00:04:23
35.1576013,33.3380126,00:04:24
35.1576013,33.3380126,00:04:25
35.1576279,33.3380164,00:04:26
35.1576279,33.3380164,00:04:27
35.1576279,33.3380164,00:04:28
35.1576279,33.3380164,00:04:29
35.1576279,33.3380164,00:04:30
35.1576271,33.3380372,00:04:31
35.1576271,33.3380372,00:04:32
35.1576271,33.3380372,00:04:33
35.1576271,33.3380372,00:04:34
35.1576271,33.3380372,00:04:35
35.1576162,33.3380602,00:04:36
35.1576162,33.3380602,00:04:37
35.1576162,33.3380602,00:04:38
35.1576162,33.3380602,00:04:39
35.1576162,33.3380602,00:04:40
